Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Albuca humilis,11.9917,11,10.7868,22.225,5.04583,829.75,101.0,False,27,,33,
Albuca nelsonii,11.9917,9,15.2903,24.8,9.09167,805.5,110.0,False,35,,39,
Alcea rosea,11.9917,9,10.1056,24.1,3.05833,756.5,136.5,False,110,,8601,
Alcea rugosa,11.9917,9,10.0097,25.85,0.704167,653.75,128.75,False,49,,1365,
Alchemilla alpina,11.9917,6,5.33194,19.2,-0.600002,1041.0,183.0,False,93,,9021,
Alchemilla erythropoda,11.9917,6,6.51667,22.975,-2.5625,719.0,127.75,False,62,,50,
Alchemilla lithophila,11.9917,2,5.3875,19.2,-3.28333,847.0,169.0,False,1,,10,
Alchemilla mollis,11.9917,6,9.36944,23.125,1.8625,825.0,157.0,False,158,,8266,
Alchemilla sericea,11.9917,3,3.18056,19.0,-4.2875,915.0,166.5,False,13,,149,
Alchemilla xanthochlora,11.9917,6,8.45,21.8,1.5,929.0,180.5,False,53,,6365,
Aleuritopteris argentea,11.9917,11,11.3028,27.8,0.841665,816.0,76.5,False,7,,1359,
Allium acuminatum,11.9917,9,8.85417,26.35,0.516667,641.75,102.75,False,15,,3885,
Allium amplectens,11.9917,11,12.0264,27.5,5.06667,897.5,74.0,False,18,,1478,
Allium atropurpureum,11.9917,8,10.1236,24.95,1.6875,747.75,131.75,False,67,,35,
Allium cernuum,11.9917,6,8.53125,25.95,-1.27917,779.75,131.75,False,123,,7370,
Allium cristophii,11.9917,9,9.83471,22.675,3.00833,794.25,152.5,False,60,,411,
Allium falcifolium,11.9917,11,11.5201,25.65,4.90417,1013.25,101.5,False,19,,1446,
Allium flavum,11.9917,8,9.65,24.95,0.825002,700.5,124.5,False,88,,2858,
Allium forrestii,11.9917,8,5.575,18.775,-1.8125,667.0,78.0,False,13,,55,
Allium hollandicum,11.9917,3,8.07083,22.075,1.725,674.25,131.0,False,11,,906,
Allium hookeri,11.9917,11,12.832,24.425,5.4875,942.25,104.0,False,9,,87,
Allium kiiense,11.9917,9,12.4444,28.9,1.70833,1682.5,231.5,False,6,,8,
Allium litvinovii,11.9917,8,10.2611,29.725,-0.574998,583.25,91.25,False,5,,8,
Allium moly,11.9917,8,10.0472,24.2,2.73333,762.0,145.75,False,109,,2201,
Allium paradoxum,11.9917,6,9.22014,22.7,1.8125,664.0,126.75,False,32,,7203,
Allium platycaule,11.9917,9,7.40416,24.25,1.025,752.0,82.0,False,20,,359,
Allium schoenoprasum,11.9917,9,8.31876,23.7,0.908333,786.5,140.0,False,201,,8249,
