Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Cercocarpus betuloides,9.98333,6,14.7944,28.9,9.22083,563.25,10.5,False,31,,668,
Chlorogalum pomeridianum,9.98333,6,14.2868,27.3,8.25833,729.5,60.25,False,34,,9378,
Chosenia arbutifolia,9.98333,6,-1.82639,22.25,-15.7333,585.5,53.25,False,13,,831,
Cistus inflatus,9.98333,6,13.3604,24.425,8.03333,898.75,107.25,False,11,,997,
Coreopsis auriculata,9.98333,6,14.85,31.2,4.86667,1180.5,220.75,False,23,,55,
Cornus elliptica,9.98333,6,13.7812,27.625,6.0625,1199.5,159.0,False,19,,124,
Corydalis buschii,9.98333,6,5.89722,23.6,-6.93334,758.5,73.5,False,1,,8,
Cyrtomium macrophyllum,9.98333,6,13.1194,27.8,4.225,1462.5,171.0,False,3,,75,
Dasylirion leiophyllum,9.98333,6,15.6597,31.2,7.25417,569.5,71.0,False,33,,56,
Dipterostemon capitatus,9.98333,6,15.4847,28.4,9.85834,632.5,9.5,False,1,,986,
Elaeagnus glabra,9.98333,6,15.1743,28.475,6.64167,1325.25,140.75,False,11,,147,
Elaeagnus macrophylla,9.98333,6,13.7035,27.6,4.95,1337.0,169.75,False,29,,167,
Eriogonum giganteum,9.98333,6,15.9174,26.3,11.8625,439.5,7.0,False,26,,612,
Eschscholzia caespitosa,9.98333,6,14.6486,29.9,6.85833,683.5,27.5,False,11,,1626,
Fritillaria monantha,9.98333,6,15.7118,28.225,7.32917,1400.0,118.0,False,2,,8,
Gelsemium sempervirens,9.98333,6,17.2611,31.0,7.78333,1182.0,213.5,False,65,,6616,
Genista tenera,9.98333,6,14.4708,23.6,10.2667,738.0,68.5,False,8,,77,
Hesperocyparis macnabiana,9.98333,6,13.9618,29.0,7.93333,876.5,42.5,False,14,,35,
Hylotelephium ewersii,9.98333,6,4.74028,21.9,-5.45416,605.25,91.0,False,3,,943,
Indigofera incarnata,9.98333,6,16.0118,31.1,6.7875,1349.75,170.0,False,4,,429,
Kadsura heteroclita,9.98333,6,16.9333,29.1,9.23333,1198.75,93.75,False,1,,267,
Kunzea muelleri,9.98333,6,8.5014,21.65,3.78333,1284.75,218.0,False,12,,848,
Leptospermum namadgiensis,9.98333,6,8.91388,23.475,3.43334,898.5,179.25,False,5,,119,
Lycoris aurea,9.98333,6,16.8181,30.5,8.4875,1257.0,125.0,False,44,,288,
Moraea ochroleuca,9.98333,6,15.0202,25.75,9.525,709.75,98.5,False,13,,72,
Muhlenbergia rigens,9.98333,6,15.7757,30.725,8.89167,538.75,24.25,False,47,,1813,
Nothaphoebe cavaleriei,9.98333,6,13.7812,27.85,5.30834,730.0,141.0,False,11,,,
Odontostomum hartwegii,9.98333,6,15.6,30.85,8.8125,778.0,65.25,False,14,,39,
Phalocallis coelestis,9.98333,6,15.8333,29.375,9.72917,1340.25,262.0,False,8,,6,
