AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
2023-0001,2023-0001.88,Alnus firma,Alnus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,,Planting,Data deficient,,,,"JPN: Kyoto Prefecture, 86 m, 35.666667 | 135.066667",Alnus firma,Alnus firma Siebold & Zucc.,11,11,8,8,Betulaceae
2023-0002,2023-0002.88,Alnus pendula,Alnus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,,"JPN: Kyoto Prefecture, 86 m, 35.666667 | 135.066667",Alnus pendula,Alnus pendula Matsum.,11,11,11,8,Betulaceae
2022-0163,2022-0163.88,Amelanchier sanguinea,Amelanchier,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,"Rocky, gravelly shore",Planting,,,,"Saint-Siméon, Port-au-Persil","CAN: Quebec, MRC Charlevoix-Est, Saint-Siméon, Port-au-Persil, 5 m, 47° 48' 25.13'' N | -69° 53' 49.01'' O",Amelanchier sanguinea,Amelanchier sanguinea (Pursh) DC.,9,6,3,3,Rosaceae
2023-0213,2023-0213.88,Andromeda polifolia,Andromeda,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,,Planting,,,,Isdalen,"NOR: Hordaland, Eidfjord, Isdalen, 850 m, 60.4414783333 | 7.26753",Andromeda polifolia,Andromeda polifolia L.,9,6,3,3,Ericaceae
2023-0333,2023-0333.88,Angelica gigas,Angelica,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Angelica gigas,Angelica gigas Nakai,,,,,Apiaceae
2023-0335,2023-0335.88,Aquilegia buergeriana,Aquilegia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Aquilegia buergeriana 'Calimero',Aquilegia buergeriana 'Calimero',,,,,Ranunculaceae
2021-0799,2021-0799.86,Arctostaphylos catalinae,Arctostaphylos,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,,Planting,Vulnerable,,,Catalina Island,"USA: California, Los Angeles County, Catalina Island, 0 - 639 m",Arctostaphylos catalinae,Arctostaphylos catalinae P.V.Wells,5,5,6,8,Ericaceae
2021-0799,2021-0799.87,Arctostaphylos catalinae,Arctostaphylos,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,,Planting,Vulnerable,,,Catalina Island,"USA: California, Los Angeles County, Catalina Island, 0 - 639 m",Arctostaphylos catalinae,Arctostaphylos catalinae P.V.Wells,5,5,6,8,Ericaceae
2023-0437,2023-0437.88,Arctostaphylos glandulosa,Arctostaphylos,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,,Planting,,,,"Six Rivers National Forest, Snow Camp road edge","USA: California, Humboldt County, Six Rivers National Forest, Snow Camp road edge, 897 m, 40.90142 | -123.8706",Arctostaphylos glandulosa subsp. glandulosa,Arctostaphylos glandulosa Eastw. subsp. glandulosa,,,,,Ericaceae
2023-0440,2023-0440.88,Arctostaphylos patula,Arctostaphylos,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,,Planting,,,,"E County Line Road, roadside pullout","USA: California, Shasta County, E County Line Road, roadside pullout, 1147 m, 40.63352 | -122.72093",Arctostaphylos patula,Arctostaphylos patula Greene,9,9,9,6,Ericaceae
