AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2023-0269,2023-0269.88,Pteridaceae,Adiantum,Adiantum shastense,Adiantum shastense,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,5.0,8.0,11.0,11.0,,Herbaceous Perennial,,Adiantum shastense Huiet & A.R.Sm.,49.249515,-123.234415,
2023-0329,2023-0329.88,Lamiaceae,Agastache,Agastache aurantiaca,Agastache aurantiaca,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,11.0,11.0,11.0,,Herbaceous Perennial,,Agastache aurantiaca (A.Gray) Lint. & Epling.,49.249515,-123.234415,
2024-0056,2024-0056.88,Lamiaceae,Agastache,Agastache nepetoides,Agastache nepetoides,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,11.0,8.0,6.0,,Herbaceous Perennial,,Agastache nepetoides (L.) Kuntze,49.249515,-123.234415,
2023-0001,2023-0001.88,Betulaceae,Alnus,Alnus firma,Alnus firma,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Data deficient,,,11.0,11.0,8.0,8.0,"JPN: Kyoto Prefecture, 86 m, 35.666667 | 135.066667",Shrub or Tree,,Alnus firma Siebold & Zucc.,49.249515,-123.234415,
2023-0002,2023-0002.88,Betulaceae,Alnus,Alnus pendula,Alnus pendula,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,11.0,11.0,8.0,"JPN: Kyoto Prefecture, 86 m, 35.666667 | 135.066667",Tree,,Alnus pendula Matsum.,49.249515,-123.234415,
2022-0163,2022-0163.88,Rosaceae,Amelanchier,Amelanchier sanguinea,Amelanchier sanguinea,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,6.0,3.0,3.0,"CAN: Quebec, MRC Charlevoix-Est, Saint-Siméon, Port-au-Persil, 5 m, 47° 48' 25.13'' N | -69° 53' 49.01'' O",Shrub,"Rocky, gravelly shore",Amelanchier sanguinea (Pursh) DC.,49.249515,-123.234415,"Saint-Siméon, Port-au-Persil"
2023-0213,2023-0213.88,Ericaceae,Andromeda,Andromeda polifolia,Andromeda polifolia,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,6.0,3.0,3.0,"NOR: Hordaland, Eidfjord, Isdalen, 850 m, 60.4414783333 | 7.26753",Shrub,,Andromeda polifolia L.,49.249515,-123.234415,Isdalen
2023-0333,2023-0333.88,Apiaceae,Angelica,Angelica gigas,Angelica gigas,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,,,,,,Herbaceous Perennial,,Angelica gigas Nakai,49.249515,-123.234415,
2023-0335,2023-0335.88,Ranunculaceae,Aquilegia,Aquilegia buergeriana,Aquilegia buergeriana 'Calimero',8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,,,,,,Herbaceous Perennial,,Aquilegia buergeriana 'Calimero',49.249515,-123.234415,
2021-0799,2021-0799.86,Ericaceae,Arctostaphylos,Arctostaphylos catalinae,Arctostaphylos catalinae,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Vulnerable,,,5.0,5.0,6.0,8.0,"USA: California, Los Angeles County, Catalina Island, 0 - 639 m",Shrub or Tree,,Arctostaphylos catalinae P.V.Wells,49.249515,-123.234415,Catalina Island
2021-0799,2021-0799.87,Ericaceae,Arctostaphylos,Arctostaphylos catalinae,Arctostaphylos catalinae,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Vulnerable,,,5.0,5.0,6.0,8.0,"USA: California, Los Angeles County, Catalina Island, 0 - 639 m",Shrub or Tree,,Arctostaphylos catalinae P.V.Wells,49.249515,-123.234415,Catalina Island
2023-0437,2023-0437.88,Ericaceae,Arctostaphylos,Arctostaphylos glandulosa,Arctostaphylos glandulosa subsp. glandulosa,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Humboldt County, Six Rivers National Forest, Snow Camp road edge, 897 m, 40.90142 | -123.8706",Shrub,,Arctostaphylos glandulosa Eastw. subsp. glandulosa,49.249515,-123.234415,"Six Rivers National Forest, Snow Camp road edge"
2023-0440,2023-0440.88,Ericaceae,Arctostaphylos,Arctostaphylos patula,Arctostaphylos patula,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,9.0,9.0,6.0,"USA: California, Shasta County, E County Line Road, roadside pullout, 1147 m, 40.63352 | -122.72093",Shrub,,Arctostaphylos patula Greene,49.249515,-123.234415,"E County Line Road, roadside pullout"
2016-0331,2016-0331.86,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,9.0,9.0,6.0,3.0,"CAN: British Columbia, Alberni-Clayoquot Regional District, Vancouver Island, Franklin River Forest Service Road, 123 m, 49.14399 | -124.7856",Shrub,Original locality is batch imported on 2019 Aug 16;,Arctostaphylos uva-ursi (L.) Spreng.,49.249515,-123.234415,"Vancouver Island, Franklin River Forest Service Road"
2024-0192,2024-0192.88,Araceae,Arisaema,Arisaema ciliatum,Arisaema ciliatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,11.0,11.0,8.0,5.0,"CHN: Sichuan Province, Liuba, 3600 m",Herbaceous Perennial,,Arisaema ciliatum H.Li,49.249515,-123.234415,Liuba
